doi,openalex_type,bso_type
10.5194/essd-12-3573-2020,publisher;repository,not_found
10.1107/s1600577520009960,publisher;repository,publisher
10.1016/j.jhazmat.2019.121839,publisher;repository,publisher
10.1001/jama.2020.2477,publisher;repository,publisher
10.1016/j.compeleceng.2020.106646,publisher;repository,publisher
10.1016/j.chom.2020.09.012,publisher;repository,publisher
10.1111/bph.14987,publisher;repository,publisher
10.1016/j.jip.2020.107348,publisher;repository,publisher
10.1159/000507840,publisher;repository,publisher
10.1016/j.jhepr.2020.100170,publisher;repository,publisher
10.3389/fimmu.2020.585616,publisher;repository,publisher
10.3847/1538-4365/ab9f2e,publisher;repository,not_found
10.1136/neurintsurg-2019-015237,publisher;repository,publisher
10.1161/atvbaha.119.313129,publisher;repository,publisher
10.1016/s2352-3026(20)30205-2,publisher;repository,repository
10.1016/j.ijpe.2020.107886,publisher;repository,repository
10.1093/jxb/erz474,publisher;repository,publisher
10.1016/j.rse.2019.111502,publisher;repository,publisher
10.1016/j.ensm.2019.11.015,publisher;repository,publisher
10.1007/s00228-019-02810-1,publisher;repository,publisher
10.1111/nph.16724,publisher;repository,publisher
10.15585/mmwr.mm6927e1,publisher;repository,not_found
10.1017/dsj.2020.15,publisher;repository,publisher
10.1182/blood.2020005221,publisher;repository,publisher
10.1038/s41467-020-19941-0,publisher;repository,publisher
10.1111/een.12792,publisher;repository,publisher
10.1212/wnl.0000000000008746,publisher;repository,not_found
10.1111/ajt.15852,publisher;repository,publisher
10.1056/nejmoa1913808,publisher;repository,closed
10.1016/j.reactfunctpolym.2020.104599,publisher;repository,publisher
10.1073/pnas.1914536117,publisher;repository,publisher
10.1186/s13100-020-00223-x,publisher;repository,publisher
10.1002/humu.24107,publisher;repository,publisher
10.1016/j.biotechadv.2019.107461,publisher;repository,publisher
10.1172/jci.insight.133501,publisher;repository,not_found
10.1162/coli_a_00379,publisher;repository,not_found
10.1080/22221751.2020.1785336,publisher;repository,publisher
10.1016/j.ijtb.2020.07.004,publisher;repository,not_found
10.1109/access.2019.2960873,publisher;repository,publisher
10.1016/j.molp.2019.12.011,publisher;repository,publisher
10.1016/j.compositesb.2020.107866,publisher;repository,publisher
10.1016/j.tifs.2020.02.006,publisher;repository,publisher
10.1109/sp40000.2020.00009,publisher;repository,not_found
10.1161/strokeaha.119.027544,publisher;repository,repository
10.3389/fnins.2020.585432,publisher;repository,publisher
10.1016/j.ijhydene.2020.01.067,publisher;repository,publisher
10.1098/rspb.2019.2182,publisher;repository,publisher
10.1016/j.celrep.2020.107567,publisher;repository,publisher
10.1016/j.rse.2020.112052,publisher;repository,publisher
10.1200/jco.19.02778,publisher;repository,publisher
10.1149/1945-7111/ab7c38,publisher;repository,publisher
10.1016/j.scitotenv.2020.137800,publisher;repository,publisher
10.3174/ajnr.a6654,publisher;repository,not_found
10.1007/s42399-020-00417-7,publisher;repository,publisher
10.1016/j.jcv.2020.104569,publisher;repository,repository
10.1089/hum.2020.217,publisher;repository,publisher
10.1016/j.est.2020.101806,publisher;repository,repository
10.1186/s10194-020-01204-4,publisher;repository,publisher
10.3171/2019.11.focus19769,publisher;repository,publisher
10.1038/s41598-020-61180-2,publisher;repository,not_found
10.1002/jbmr.4012,publisher;repository,publisher
10.1001/jamaneurol.2020.0326,publisher;repository,publisher
10.1098/rstb.2019.0641,publisher;repository,publisher
10.1093/cid/ciaa677,publisher;repository,publisher
10.1093/brain/awaa188,publisher;repository,publisher
10.1097/tp.0000000000003372,publisher;repository,publisher
10.1186/s13024-020-00408-1,publisher;repository,publisher
10.1038/s41597-020-00757-y,publisher;repository,publisher
10.1016/j.jbusres.2018.12.009,publisher;repository,publisher
10.1016/j.jgar.2019.10.001,publisher;repository,publisher
10.1016/j.molcel.2019.10.029,publisher;repository,publisher
10.1016/s2213-2600(20)30223-x,publisher;repository,repository
10.1016/j.dss.2020.113325,publisher;repository,publisher
10.1073/pnas.2002707117,publisher;repository,publisher
10.1016/j.corsci.2020.108840,publisher;repository,publisher
10.1056/nejmc1917344,publisher;repository,publisher
10.1016/j.jaccao.2020.08.007,publisher;repository,publisher
10.1016/j.jhydrol.2019.124254,publisher;repository,publisher
10.1152/ajpcell.00378.2019,publisher;repository,publisher
10.1002/anie.202002527,publisher;repository,not_found
10.1109/sp40000.2020.00093,publisher;repository,not_found
10.1002/ange.202000940,publisher;repository,not_found
10.1158/1078-0432.ccr-19-0287,publisher;repository,publisher
10.1088/1361-6595/ab6880,publisher;repository,publisher
10.1051/0004-6361/201937339,publisher;repository,not_found
10.1039/d0sc00836b,publisher;repository,publisher
10.1038/s42256-020-0181-6,publisher;repository,publisher
10.1007/s00134-020-06120-4,publisher;repository,publisher
10.1136/jitc-2020-000645,publisher;repository,publisher
10.3390/min10090728,publisher;repository,publisher
10.3390/data5040089,publisher;repository,publisher
10.1016/j.jgar.2019.08.018,publisher;repository,publisher
10.1111/2041-210x.13306,publisher;repository,publisher
10.1016/j.jvolgeores.2019.106703,publisher;repository,publisher
10.26599/tst.2019.9010014,publisher;repository,publisher
10.1523/jneurosci.2434-19.2020,publisher;repository,not_found
10.1016/j.chemosphere.2020.126196,publisher;repository,publisher
10.1111/gcb.15059,publisher;repository,closed
10.1016/j.molcel.2020.02.028,publisher;repository,publisher
10.1007/s11661-020-05772-7,publisher;repository,publisher
10.1093/ejcts/ezaa158,publisher;repository,publisher
10.1016/j.cell.2020.05.026,publisher;repository,publisher
10.1016/j.chemosphere.2020.127344,publisher;repository,publisher
10.1016/j.jinf.2020.07.028,publisher;repository,repository
10.1016/j.clon.2020.07.020,publisher;repository,repository
10.1016/j.celrep.2020.108038,publisher;repository,publisher
10.1016/j.egyr.2020.09.022,publisher;repository,publisher
10.1186/s13054-021-03517-5,publisher;repository,publisher
10.1016/j.hrthm.2019.02.034,publisher;repository,publisher
10.1111/jth.14633,publisher;repository,publisher
10.1016/j.socscimed.2020.113086,publisher;repository,publisher
10.3389/fcimb.2020.00403,publisher;repository,not_found
10.1093/ajcn/nqaa246,publisher;repository,publisher
10.3390/polym12102227,publisher;repository,not_found
10.1136/bjsports-2019-100608,publisher;repository,not_found
10.1016/j.scitotenv.2019.135460,publisher;repository,publisher
10.1016/j.techfore.2020.119956,publisher;repository,publisher
10.1016/j.compstruct.2020.112127,publisher;repository,publisher
10.1016/j.devcel.2020.04.008,publisher;repository,publisher
10.1016/j.conb.2020.04.003,publisher;repository,publisher
10.15585/mmwr.mm6932e5,publisher;repository,not_found
10.1038/s41427-020-00262-z,publisher;repository,not_found
10.1136/gutjnl-2018-316975,publisher;repository,publisher
10.1364/oe.382650,publisher;repository,publisher
10.3324/haematol.2019.218545,publisher;repository,not_found
10.1007/s10340-020-01200-2,publisher;repository,publisher
10.1016/j.molcel.2020.01.001,publisher;repository,publisher
10.33590/emj/200324,publisher;repository,not_found
10.1176/appi.ajp.2019.19060666,publisher;repository,not_found
10.3390/rs12091422,publisher;repository,not_found
10.1007/s10479-020-03695-5,publisher;repository,publisher
10.1016/j.mam.2019.11.002,publisher;repository,publisher
10.1111/ajt.15805,publisher;repository,not_found
10.3390/ma13051117,publisher;repository,not_found
10.1016/j.apenergy.2020.114516,publisher;repository,publisher
10.1002/joa3.12338,publisher;repository,not_found
10.1057/s41599-020-0492-6,publisher;repository,publisher
10.3389/fmed.2020.00342,publisher;repository,publisher
10.1016/j.compfluid.2020.104722,publisher;repository,publisher
10.1038/s41467-020-18466-w,publisher;repository,publisher
10.1515/9783110557596,publisher;repository,not_found
10.1038/s41436-019-0698-4,publisher;repository,publisher
10.1523/jneurosci.1650-18.2019,publisher;repository,not_found
10.1016/j.bbmt.2020.01.027,publisher;repository,publisher
10.1093/ajh/hpz193,publisher;repository,publisher
10.3847/1538-4357/ab339f,publisher;repository,publisher
10.1016/j.ssci.2020.104814,publisher;repository,publisher
10.1186/s13195-020-00669-4,publisher;repository,publisher
10.1016/j.ejca.2020.09.008,publisher;repository,publisher
10.1017/s1751731119002544,publisher;repository,publisher
10.1002/lno.11388,publisher;repository,publisher
10.1016/j.geodrs.2020.e00255,publisher;repository,publisher
10.1111/ajt.15798,publisher;repository,publisher
10.1037/rev0000186,publisher;repository,not_found
10.1016/j.ijbiomac.2020.05.199,publisher;repository,publisher
10.1016/j.tre.2020.101972,publisher;repository,publisher
10.1002/jcsm.12587,publisher;repository,publisher
10.1016/j.diii.2020.05.009,publisher;repository,publisher
10.1145/3351095.3372853,publisher;repository,not_found
10.1186/s13049-020-00813-x,publisher;repository,publisher
10.1089/tmj.2018.0316,publisher;repository,publisher
10.1159/000503147,publisher;repository,publisher
10.1007/s11127-019-00715-2,publisher;repository,publisher
10.1093/cvr/cvz250,publisher;repository,publisher
10.1016/j.optlastec.2019.105968,publisher;repository,publisher
10.1016/j.gsf.2019.11.006,publisher;repository,publisher
10.1002/ejoc.201901718,publisher;repository,publisher
10.1016/s1872-2067(19)63404-2,publisher;repository,publisher
10.1162/coli_a_00380,publisher;repository,not_found
10.1016/j.scitotenv.2020.138618,publisher;repository,publisher
10.1002/jimd.12245,publisher;repository,publisher
10.1016/j.neurol.2020.04.014,publisher;repository,repository
10.1007/s00417-020-04771-z,publisher;repository,publisher
10.1016/j.conbuildmat.2020.120095,publisher;repository,publisher
10.3389/fsufs.2020.00109,publisher;repository,publisher
10.3389/fimmu.2020.01630,publisher;repository,publisher
10.3389/fimmu.2020.01740,publisher;repository,publisher
10.3389/fmech.2020.00070,publisher;repository,publisher
10.1002/ctm2.221,publisher;repository,publisher
10.1016/j.ijrobp.2020.05.012,publisher;repository,not_found
10.1210/clinem/dgz069,publisher;repository,publisher
10.1007/s00535-019-01644-z,publisher;repository,not_found
10.5194/wes-5-1225-2020,publisher;repository,not_found
10.1016/j.autrev.2020.102468,publisher;repository,publisher
10.20870/oeno-one.2020.54.1.2458,publisher;repository,publisher
10.1016/j.seppur.2020.116964,publisher;repository,publisher
10.1038/s41386-020-0714-z,publisher;repository,publisher
10.1111/nph.16746,publisher;repository,publisher
10.1515/nanoph-2019-0570,publisher;repository,publisher
10.1007/978-3-030-33157-3_14,publisher;repository,publisher
10.1182/bloodadvances.2020001582,publisher;repository,publisher
10.1093/ehjci/jeaa149,publisher;repository,not_found
10.1183/13993003.03054-2020,publisher;repository,publisher
10.1016/j.cgh.2020.12.005,publisher;repository,publisher
10.1136/sextrans-2019-053972,publisher;repository,not_found
10.5194/acp-20-4757-2020,publisher;repository,not_found
10.1161/strokeaha.119.027703,publisher;repository,publisher
10.1137/1.9781611975994.9,publisher;repository,not_found
10.1161/strokeaha.119.028231,publisher;repository,publisher
10.1016/j.wasman.2020.03.028,publisher;repository,publisher
10.1038/s41379-020-0542-z,publisher;repository,publisher
10.1016/j.jcin.2020.02.042,publisher;repository,publisher
10.1001/jamadermatol.2020.1602,publisher;repository,publisher
10.18653/v1/2020.iwpt-1.16,publisher;repository,not_found
10.1016/j.ecolecon.2020.106783,publisher;repository,publisher
10.1016/j.foodres.2020.109731,publisher;repository,publisher
10.1182/bloodadvances.2020002337,publisher;repository,publisher
10.1016/j.chemosphere.2019.125019,publisher;repository,publisher
10.1007/s11367-019-01696-6,publisher;repository,publisher
10.1523/jneurosci.2092-19.2019,publisher;repository,not_found
10.1017/s0029665120000014,publisher;repository,publisher
10.1016/j.jaci.2020.01.045,publisher;repository,publisher
10.1530/erc-19-0435,publisher;repository,publisher
10.1634/theoncologist.2019-0646,publisher;repository,publisher
10.1111/nph.16723,publisher;repository,publisher
10.3174/ajnr.a6582,publisher;repository,publisher
10.1093/clinchem/hvaa121,publisher;repository,publisher
10.1172/jci134778,publisher;repository,publisher
10.1039/d0py00770f,publisher;repository,publisher
10.1177/2331216520948390,publisher;repository,publisher
10.1161/strokeaha.120.029494,publisher;repository,publisher
10.1111/os.12788,publisher;repository,publisher
10.2147/idr.s269033,publisher;repository,publisher
10.18653/v1/2020.emnlp-main.361,publisher;repository,not_found
10.1007/s00395-020-00838-4,publisher;repository,publisher
10.18653/v1/2020.coling-main.525,publisher;repository,not_found
10.1093/bioinformatics/btaa813,publisher;repository,not_found
10.1109/sp40000.2020.00114,publisher;repository,publisher
10.1111/pcn.12944,publisher;repository,publisher
10.1016/j.ejor.2020.01.035,publisher;repository,publisher
10.3847/1538-4365/ab61f5,publisher;repository,publisher
10.1016/j.jacl.2020.03.001,publisher;repository,publisher
10.3390/foods9040434,publisher;repository,not_found
10.1016/j.meatsci.2020.108190,publisher;repository,publisher
10.1021/acs.nanolett.9b04998,publisher;repository,publisher
10.7554/elife.55813,publisher;repository,publisher
10.3389/fmicb.2020.01637,publisher;repository,not_found
10.15585/mmwr.mm6927a2,publisher;repository,not_found
10.1074/jbc.rev120.013531,publisher;repository,publisher
10.1093/synbio/ysaa012,publisher;repository,publisher
10.1016/j.annonc.2020.08.2268,publisher;repository,publisher
10.1016/j.ijhydene.2020.08.259,publisher;repository,publisher
10.1007/s00267-020-01375-5,publisher;repository,publisher
10.1503/cmaj.202353,publisher;repository,not_found
10.1002/jev2.12037,publisher;repository,publisher
10.21809/rilemtechlett.2020.127,publisher;repository,not_found
10.1684/mrh.2021.0476,publisher;repository,publisher
10.12688/f1000research.26707.1,publisher;repository,not_found
10.1177/2515245920958687,publisher;repository,repository
10.1038/s41390-019-0490-9,publisher;repository,publisher
10.1002/humu.23899,publisher;repository,publisher
10.1094/phyto-04-19-0144-r,publisher;repository,publisher
10.1016/j.econlet.2019.108760,publisher;repository,publisher
10.1016/j.bbagrm.2020.194505,publisher;repository,publisher
10.1016/j.autcon.2020.103120,publisher;repository,publisher
10.1016/j.aca.2020.02.064,publisher;repository,publisher
10.1161/atvbaha.119.313698,publisher;repository,publisher
10.1210/clinem/dgaa160,publisher;repository,publisher
10.1136/jitc-2019-000394,publisher;repository,not_found
10.1186/s40323-020-00153-6,publisher;repository,publisher
10.1016/j.ecoser.2020.101120,publisher;repository,publisher
10.1038/s41379-020-0540-1,publisher;repository,not_found
10.1007/978-3-030-49161-1_17,publisher;repository,publisher
10.1515/cclm-2020-0612,publisher;repository,publisher
10.1099/ijsem.0.004306,publisher;repository,publisher
10.1136/bmjhci-2020-100183,publisher;repository,not_found
10.1148/radiol.2020192234,publisher;repository,publisher
10.1038/s41467-020-17731-2,publisher;repository,publisher
10.1152/ajpcell.00340.2020,publisher;repository,publisher
10.3389/fmats.2020.00215,publisher;repository,publisher
10.3233/jad-201029,publisher;repository,publisher
10.1099/ijsem.0.004501,publisher;repository,publisher
10.1136/jitc-2020-001153,publisher;repository,publisher
10.1109/access.2020.3033828,publisher;repository,publisher
10.18653/v1/2020.coling-main.609,publisher;repository,not_found
10.1016/j.arabjc.2018.03.013,publisher;repository,publisher
10.1038/s41436-019-0639-2,publisher;repository,publisher
10.1016/j.hpb.2019.08.005,publisher;repository,publisher
10.1111/exd.14047,publisher;repository,publisher
10.1016/j.buildenv.2019.106480,publisher;repository,publisher
10.1016/j.ijadhadh.2019.102499,publisher;repository,publisher
10.1016/j.ijantimicag.2019.10.015,publisher;repository,publisher
10.1109/access.2019.2960614,publisher;repository,publisher
10.3324/haematol.2019.236588,publisher;repository,publisher
10.1609/aaai.v34i05.6376,publisher;repository,not_found
10.1161/strokeaha.119.028718,publisher;repository,publisher
10.1007/s00226-020-01172-7,publisher;repository,publisher
10.1016/j.yexcr.2020.111959,publisher;repository,publisher
10.1590/1981-7746-sol00246,publisher;repository,not_found
10.1111/nph.16603,publisher;repository,closed
10.1002/batt.202000049,publisher;repository,publisher
10.1063/1.5134727,publisher;repository,publisher
10.1136/thoraxjnl-2020-214626,publisher;repository,publisher
10.1016/j.procir.2020.02.022,publisher;repository,publisher
10.1080/2162402x.2020.1777064,publisher;repository,publisher
10.1073/pnas.2004914117,publisher;repository,publisher
10.1007/s11104-020-04633-x,publisher;repository,publisher
10.3389/fcell.2020.00584,publisher;repository,publisher
10.1164/rccm.202005-1945le,publisher;repository,publisher
10.1093/sleep/zsaa125,publisher;repository,publisher
10.1007/s00281-020-00804-1,publisher;repository,publisher
10.1007/s00134-020-06199-9,publisher;repository,publisher
10.3748/wjg.v26.i29.4198,publisher;repository,publisher
10.1530/eje-20-0363,publisher;repository,publisher
10.1186/s13244-020-00899-y,publisher;repository,publisher
10.1093/jxb/eraa396,publisher;repository,publisher
10.1002/anie.202011480,publisher;repository,publisher
10.1038/s41467-020-19354-z,publisher;repository,publisher
10.1002/ange.202008700,publisher;repository,not_found
10.12688/wellcomeopenres.16291.1,publisher;repository,not_found
10.1515/cclm-2019-0235,publisher;repository,publisher
10.1016/j.jid.2019.07.716,publisher;repository,publisher
10.1016/j.jag.2019.101958,publisher;repository,publisher
10.1111/febs.15080,publisher;repository,publisher
10.1099/ijsem.0.003919,publisher;repository,publisher
10.1161/strokeaha.119.028154,publisher;repository,publisher
10.1609/aaai.v34i06.6542,publisher;repository,not_found
10.1016/j.jhydrol.2020.124625,publisher;repository,publisher
10.1016/j.cbi.2020.108974,publisher;repository,publisher
10.1098/rstb.2019.0661,publisher;repository,publisher
10.1016/j.ijfoodmicro.2020.108574,publisher;repository,publisher
10.1016/j.jcin.2020.01.231,publisher;repository,publisher
10.1002/art.41299,publisher;repository,publisher
10.1016/s2468-2667(20)30095-5,publisher;repository,repository
10.1161/circimaging.119.010356,publisher;repository,publisher
10.1007/s00134-020-06118-y,publisher;repository,publisher
10.1136/neurintsurg-2019-015508,publisher;repository,publisher
10.1016/j.sajb.2020.06.006,publisher;repository,publisher
10.5826/dpc.1003a33,publisher;repository,not_found
10.1038/s42003-020-01183-x,publisher;repository,publisher
10.4103/ijo.ijo_816_20,publisher;repository,publisher
10.1164/rccm.202005-1524le,publisher;repository,publisher
10.1016/j.cortex.2020.08.021,publisher;repository,publisher
10.3389/fcell.2020.594903,publisher;repository,publisher
10.1016/j.cmet.2020.02.012,publisher;repository,not_found
10.1016/j.spmi.2019.106377,publisher;repository,publisher
10.1016/j.molp.2019.12.010,publisher;repository,publisher
10.1016/j.jaci.2020.01.006,publisher;repository,publisher
10.1016/j.ecss.2020.106613,publisher;repository,publisher
10.1183/13993003.02340-2019,publisher;repository,publisher
10.1063/1.5140645,publisher;repository,publisher
10.1097/aln.0000000000003260,publisher;repository,publisher
10.1016/j.jhtm.2020.02.009,publisher;repository,publisher
10.14283/jfa.2020.18,publisher;repository,publisher
10.3324/haematol.2019.238766,publisher;repository,publisher
10.1182/blood.2019003062,publisher;repository,repository
10.1016/j.eja.2020.126076,publisher;repository,publisher
10.1158/2159-8290.cd-19-1436,publisher;repository,publisher
10.1038/s41385-020-0303-9,publisher;repository,publisher
10.1093/alcalc/agaa041,publisher;repository,publisher
10.1136/jitc-2020-000733,publisher;repository,not_found
10.1007/s12603-020-1440-2,publisher;repository,publisher
10.1016/j.ultsonch.2020.105255,publisher;repository,publisher
10.1038/s41436-020-0898-y,publisher;repository,publisher
10.1111/zsc.12426,publisher;repository,publisher
10.1007/s40261-020-00963-x,publisher;repository,publisher
10.1016/j.jhep.2020.08.028,publisher;repository,publisher
10.1126/sciadv.abc0402,publisher;repository,publisher
10.1364/ome.402974,publisher;repository,publisher
10.1182/blood.2020007975,publisher;repository,not_found
10.1051/0004-6361/201936152,publisher;repository,not_found
10.12688/wellcomeopenres.15881.1,publisher;repository,not_found
10.1016/j.neures.2019.03.003,publisher;repository,publisher
10.1016/j.jaip.2019.06.009,publisher;repository,publisher
10.1016/j.cmi.2019.08.007,publisher;repository,publisher
10.1016/j.ijpe.2019.08.007,publisher;repository,publisher
10.1111/cmi.13132,publisher;repository,publisher
10.5194/amt-13-4791-2020,publisher;repository,not_found
10.1016/bs.apcsb.2019.08.008,publisher;repository,publisher
10.1038/s41416-019-0643-y,publisher;repository,publisher
10.1016/j.solmat.2019.110320,publisher;repository,publisher
10.1111/brv.12576,publisher;repository,publisher
10.1016/j.foodchem.2020.126327,publisher;repository,publisher
10.2215/cjn.09000819,publisher;repository,repository
10.1007/s00167-020-05879-9,publisher;repository,publisher
10.1530/rep-19-0575,publisher;repository,publisher
10.1159/000506413,publisher;repository,publisher
10.1001/jamaoto.2019.4863,publisher;repository,publisher
10.1016/j.apsusc.2020.146156,publisher;repository,publisher
10.18814/epiiugs/2020/020051,publisher;repository,publisher
10.3390/ma13071634,publisher;repository,not_found
10.1016/j.watres.2020.115826,publisher;repository,publisher
10.1016/j.neuroimage.2020.116933,publisher;repository,publisher
10.1007/s10461-020-02929-8,publisher;repository,publisher
10.35833/mpce.2019.000141,publisher;repository,publisher
10.1016/j.matdes.2020.108842,publisher;repository,publisher
10.1016/j.ecolind.2020.106550,publisher;repository,publisher
10.1017/aog.2020.31,publisher;repository,not_found
10.1073/pnas.2003473117,publisher;repository,not_found
10.1016/j.jval.2019.11.009,publisher;repository,publisher
10.1016/j.ijid.2020.07.009,publisher;repository,publisher
10.1080/2162402x.2020.1792036,publisher;repository,publisher
10.1111/jth.15024,publisher;repository,publisher
10.1093/biosci/biaa067,publisher;repository,not_found
10.1182/bloodadvances.2020002097,publisher;repository,publisher
10.15585/mmwr.mm6940a2,publisher;repository,not_found
10.1016/j.jgar.2020.10.016,publisher;repository,publisher
10.1080/2162402x.2020.1846901,publisher;repository,publisher
10.1051/0004-6361/202039046,publisher;repository,not_found
10.1186/s13287-020-02057-z,publisher;repository,publisher
10.1017/s0033291719002629,publisher;repository,not_found
10.1097/qad.0000000000002397,publisher;repository,publisher
10.1016/j.memsci.2019.117597,publisher;repository,publisher
10.1016/j.ijfoodmicro.2019.108441,publisher;repository,publisher
10.1016/j.acvd.2019.10.005,publisher;repository,publisher
10.1016/j.agee.2020.106878,publisher;repository,publisher
10.1111/eva.12944,publisher;repository,not_found
10.1016/j.eij.2020.02.003,publisher;repository,publisher
10.1016/j.foodqual.2020.103937,publisher;repository,publisher
10.1016/j.istruc.2020.03.015,publisher;repository,publisher
10.1007/s11695-020-04539-8,publisher;repository,publisher
10.1016/j.foodhyd.2020.105919,publisher;repository,publisher
10.1039/d0nr00761g,publisher;repository,publisher
10.1183/13993003.00673-2020,publisher;repository,publisher
10.1016/j.cemconres.2020.106086,publisher;repository,publisher
10.1016/j.compstruct.2020.112548,publisher;repository,publisher
10.1182/blood.2020005687,publisher;repository,publisher
10.1016/j.sysarc.2020.101804,publisher;repository,publisher
10.1016/j.cemconres.2020.106126,publisher;repository,publisher
10.1002/ejhf.1869,publisher;repository,repository
10.3389/fimmu.2020.01714,publisher;repository,publisher
10.3389/fpsyt.2020.00641,publisher;repository,not_found
10.5194/isprs-archives-xliii-b2-2020-1419-2020,publisher;repository,publisher
10.1136/annrheumdis-2020-218456,publisher;repository,publisher
10.1186/s13613-020-00760-x,publisher;repository,publisher
10.3390/polysaccharides1010005,publisher;repository,publisher
10.1016/j.egyr.2020.11.252,publisher;repository,publisher
10.1016/j.geomorph.2018.09.018,publisher;repository,publisher
10.1111/tpj.14551,publisher;repository,publisher
10.1016/j.coche.2019.10.003,publisher;repository,publisher
10.1017/s0959270919000479,publisher;repository,publisher
10.1016/j.cmi.2019.12.013,publisher;repository,publisher
10.3324/haematol.2019.237990,publisher;repository,publisher
10.1093/sleep/zsaa009,publisher;repository,publisher
10.1016/j.biochi.2020.01.013,publisher;repository,publisher
10.1212/wnl.0000000000009180,publisher;repository,publisher
10.3390/cancers12020495,publisher;repository,not_found
10.1093/cercor/bhaa017,publisher;repository,publisher
10.1172/jci.insight.131552,publisher;repository,not_found
10.1016/j.catena.2020.104542,publisher;repository,publisher
10.1111/tpj.14753,publisher;repository,publisher
10.1016/j.onehlt.2020.100131,publisher;repository,repository
10.1016/j.nfs.2020.05.001,publisher;repository,publisher
10.1016/j.cmpb.2020.105566,publisher;repository,publisher
10.1007/s00122-020-03627-8,publisher;repository,publisher
10.1016/j.diii.2020.05.002,publisher;repository,publisher
10.1016/j.psychres.2020.113205,publisher;repository,repository
10.1111/nph.16759,publisher;repository,publisher
10.1017/hpl.2020.23,publisher;repository,not_found
10.1002/term.3097,publisher;repository,publisher
10.1016/j.ibusrev.2020.101737,publisher;repository,repository
10.3389/fnins.2020.00865,publisher;repository,publisher
10.1016/j.gde.2020.06.013,publisher;repository,publisher
10.1038/s41467-020-18691-3,publisher;repository,publisher
10.3389/fevo.2020.548660,publisher;repository,publisher
10.4018/jgim.2020100103,publisher;repository,publisher
10.1007/s00383-020-04759-0,publisher;repository,publisher
10.1136/jitc-2020-001439,publisher;repository,not_found
10.1039/d0ra06700h,publisher;repository,publisher
10.1109/tste.2019.2892603,publisher;repository,publisher
10.1111/cmi.13124,publisher;repository,publisher
10.1016/j.apcatb.2019.118356,publisher;repository,not_found
10.1152/ajplung.00084.2019,publisher;repository,publisher
10.1016/j.ijbiomac.2019.10.074,publisher;repository,publisher
10.1016/j.pss.2019.104808,publisher;repository,publisher
10.1016/j.jcis.2019.12.007,publisher;repository,repository
10.1016/j.jmrt.2019.11.072,publisher;repository,publisher
10.1002/bjs.11457,publisher;repository,publisher
10.1021/acs.macromol.9b00705,publisher;repository,publisher
10.1080/19475683.2020.1714727,publisher;repository,publisher
10.1002/jbmr.3992,publisher;repository,publisher
10.1016/j.ijhydene.2020.02.085,publisher;repository,publisher
10.1007/s42452-020-2388-x,publisher;repository,publisher
10.3389/fenvs.2020.00028,publisher;repository,publisher
10.14283/jpad.2020.17,publisher;repository,publisher
10.1371/journal.pone.0230996,publisher;repository,not_found
10.1016/j.meegid.2020.104309,publisher;repository,publisher
10.1016/j.engstruct.2020.110594,publisher;repository,publisher
10.1182/blood.2020004853,publisher;repository,publisher
10.1016/j.annonc.2020.03.308,publisher;repository,repository
10.1016/j.chemosphere.2020.126793,publisher;repository,publisher
10.3390/beverages6020025,publisher;repository,not_found
10.1016/j.accpm.2020.04.008,publisher;repository,repository
10.1109/access.2020.2990439,publisher;repository,publisher
10.1016/j.jcis.2020.04.129,publisher;repository,publisher
10.1371/journal.pone.0232990,publisher;repository,not_found
10.1016/j.agrformet.2020.108022,publisher;repository,publisher
10.1109/access.2020.2996778,publisher;repository,not_found
10.1016/j.cej.2020.125534,publisher;repository,publisher
10.1016/j.euroneuro.2020.04.006,publisher;repository,publisher
10.1016/j.agsy.2020.102875,publisher;repository,publisher
10.1039/d0ra03027a,publisher;repository,publisher
10.3389/fsufs.2020.00071,publisher;repository,publisher
10.1016/j.ejogrb.2020.06.002,publisher;repository,repository
10.1016/j.oraloncology.2020.104848,publisher;repository,publisher
10.1021/acs.jpcb.0c03876,publisher;repository,publisher
10.1161/strokeaha.120.029395,publisher;repository,publisher
10.15607/rss.2020.xvi.041,publisher;repository,not_found
10.1039/d0ma00370k,publisher;repository,publisher
10.1001/jamacardio.2020.2981,publisher;repository,publisher
10.1017/s136898002000227x,publisher;repository,publisher
10.1136/openhrt-2020-001326,publisher;repository,publisher
10.1007/s00134-020-06206-z,publisher;repository,publisher
10.1016/j.bbadis.2020.165919,publisher;repository,publisher
10.1038/s41598-020-69032-9,publisher;repository,publisher
10.1038/s41598-020-72548-9,publisher;repository,publisher
10.1080/19475411.2020.1830196,publisher;repository,publisher
10.1016/j.beem.2020.101473,publisher;repository,publisher
10.1161/strokeaha.120.030038,publisher;repository,publisher
10.1007/s10657-020-09675-1,publisher;repository,publisher
10.1021/acsami.0c13092,publisher;repository,repository
10.1161/circulationaha.120.051532,publisher;repository,publisher
10.1038/s41524-020-00456-7,publisher;repository,not_found
10.1016/j.triboint.2019.01.028,publisher;repository,publisher
10.1016/j.schres.2019.07.007,publisher;repository,publisher
10.1094/pdis-04-19-0685-re,publisher;repository,publisher
10.1094/mpmi-05-19-0142-r,publisher;repository,publisher
10.1111/nph.16224,publisher;repository,publisher
10.1159/000497614,publisher;repository,publisher
10.1016/j.rse.2019.111424,publisher;repository,publisher
10.1161/circulationaha.119.042706,publisher;repository,publisher
